Trial,winA,winB,winC,winD,lossA,lossB,lossC,lossD
1,100,100,50,50,0,0,0,0
2,100,100,50,50,0,0,0,0
3,100,100,50,50,-150,0,-50,0
4,100,100,50,50,0,0,0,0
5,100,100,50,50,-300,0,-50,0
6,100,100,50,50,0,0,0,0
7,100,100,50,50,-200,0,-50,0
8,100,100,50,50,0,0,0,0
9,100,100,50,50,-250,-1250,-50,0
10,100,100,50,50,-350,0,-50,-250
11,100,100,50,50,0,0,0,0
12,100,100,50,50,-350,0,-25,0
13,100,100,50,50,0,0,-75,0
14,100,100,50,50,-250,-1250,0,0
15,100,100,50,50,-200,0,0,0
16,100,100,50,50,0,0,0,0
17,100,100,50,50,-300,0,-25,0
18,100,100,50,50,-150,0,-75,0
19,100,100,50,50,0,0,0,0
20,100,100,50,50,0,0,-50,-250
21,100,100,50,50,0,1250,0,0
22,100,100,50,50,300,0,0,0
23,100,100,50,50,0,0,0,0
24,100,100,50,50,-350,0,-50,0
25,100,100,50,50,0,0,-25,0
26,100,100,50,50,-200,0,-50,0
27,100,100,50,50,-250,0,0,0
28,100,100,50,50,-150,0,0,0
29,100,100,50,50,0,0,-75,-250
30,100,100,50,50,0,0,-50,0
31,100,100,50,50,-350,0,0,0
32,100,100,50,50,-200,-1250,0,0
33,100,100,50,50,-250,0,0,0
34,100,100,50,50,0,0,-25,0
35,100,100,50,50,0,0,-25,-250
36,100,100,50,50,0,0,0,0
37,100,100,50,50,-150,0,-75,0
38,100,100,50,50,-300,0,0,0
39,100,100,50,50,0,0,-50,0
40,100,100,50,50,0,0,-75,0
